,ward,wardcode,totalhouseholds,broom1,broom1p,broom2,broom2p,broom3,broom3p,broom4,broom4p,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p,car0,car0p,car1,car1p,car2,car2p,car3,car3p,nodis,nodisp,onedis,onedisp,twodis,twodisp,heat0,heat0p,heat1,heat1p,heatnore2,heatnore2p,heatrenew2,heatrenew2p,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p,ptime,ptimep,par15,par15p,par1630,par1630p,ftime,ftimep,f3148,f3148p,f49,f49p
27,Pilkington Park,E05014159,"4,219",189,4.5,"1,036",24.5,"1,762",41.7,"1,234",29.2,"2,018",47.8,"1,565",37.1,571,13.5,56,1.3,9,0.2,627,14.9,"1,811",42.9,"1,423",33.7,358,8.5,"2,918",69.2,"1,036",24.6,265,6.3,39,0.9,17,0.4,262,6.2,10,0.2,"3,348",79.3,18,0.4,207,4.9,645,15.3,2,0.0,322,6.7,443,9.2,888,18.5,433,9.0,90,1.9,39,0.8,38,0.8,27,0.6,"1,485",31.0,530,11.0,955,19.9,"3,313",69.0,"2,820",58.8,493,10.3
28,Radcliffe East,E05014160,"4,864",401,8.2,"1,833",37.7,"2,106",43.3,524,10.8,"1,281",26.3,"1,968",40.5,"1,416",29.1,178,3.7,21,0.4,"1,333",27.4,"2,134",43.9,"1,112",22.9,285,5.9,"3,157",64.9,"1,322",27.2,385,7.9,59,1.2,42,0.9,389,8.0,7,0.1,"2,870",59.0,31,0.6,774,15.9,"1,182",24.3,8,0.2,565,10.6,974,18.3,858,16.1,644,12.1,125,2.4,42,0.8,28,0.5,47,0.9,"1,477",27.8,428,8.1,"1,049",19.7,"3,839",72.2,"3,406",64.1,433,8.1
29,Radcliffe North & Ainsworth,E05014161,"5,344",664,12.4,"1,454",27.2,"2,340",43.8,886,16.6,"1,874",35.1,"1,905",35.7,"1,427",26.7,125,2.3,10,0.2,"1,095",20.5,"2,234",41.8,"1,511",28.3,504,9.4,"3,326",62.2,"1,574",29.5,444,8.3,63,1.2,28,0.5,445,8.3,17,0.3,"3,706",69.3,9,0.2,963,18.0,654,12.2,12,0.2,365,6.6,"1,045",18.8,832,15.0,728,13.1,161,2.9,32,0.6,40,0.7,48,0.9,"1,556",28.0,476,8.6,"1,080",19.5,"3,995",72.0,"3,499",63.0,496,8.9
30,Radcliffe West,E05014162,"4,994",488,9.8,"1,826",36.6,"2,076",41.6,604,12.1,"1,338",26.8,"1,894",37.9,"1,549",31.0,186,3.7,28,0.6,"1,357",27.2,"2,186",43.8,"1,174",23.5,277,5.5,"3,207",64.2,"1,417",28.4,371,7.4,72,1.4,42,0.8,457,9.2,6,0.1,"2,653",53.1,18,0.4,"1,144",22.9,"1,166",23.3,15,0.3,501,9.5,802,15.1,"1,074",20.3,569,10.7,119,2.2,21,0.4,25,0.5,51,1.0,"1,534",29.0,441,8.3,"1,093",20.6,"3,763",71.0,"3,278",61.9,485,9.2
31,Ramsbottom,E05014163,"5,094",392,7.7,"1,757",34.5,"1,829",35.9,"1,119",22.0,"1,853",36.4,"2,067",40.6,"1,084",21.3,85,1.7,5,0.1,811,15.9,"2,144",42.1,"1,669",32.8,468,9.2,"3,598",70.7,"1,224",24.0,270,5.3,60,1.2,16,0.3,408,8.0,12,0.2,"3,743",73.5,9,0.2,507,10.0,833,16.4,2,0.0,476,8.1,271,4.6,967,16.4,960,16.3,284,4.8,74,1.3,27,0.5,43,0.7,"1,570",26.6,518,8.8,"1,052",17.8,"4,337",73.4,"3,701",62.7,636,10.8
32,Redvales,E05014164,"4,563",538,11.8,"1,500",32.9,"1,924",42.2,601,13.2,"1,123",24.6,"1,609",35.3,"1,514",33.2,246,5.4,71,1.6,"1,280",28.1,"2,057",45.1,972,21.3,253,5.5,"2,833",62.1,"1,381",30.3,349,7.6,79,1.7,55,1.2,380,8.3,2,0.0,"2,466",54.1,26,0.6,"1,126",24.7,938,20.6,6,0.1,857,17.7,698,14.4,522,10.8,630,13.0,124,2.6,23,0.5,35,0.7,32,0.7,"1,610",33.3,478,9.9,"1,132",23.4,"3,225",66.7,"2,904",60.1,321,6.6
33,Sedgley (Bury),E05014165,"4,431",480,10.8,627,14.2,"2,082",47.0,"1,242",28.0,"1,627",36.7,"1,314",29.7,"1,213",27.4,222,5.0,52,1.2,883,19.9,"2,061",46.5,"1,169",26.4,318,7.2,"2,957",66.7,"1,104",24.9,370,8.4,47,1.1,37,0.8,285,6.4,7,0.2,"3,004",67.8,14,0.3,443,10.0,966,21.8,2,0.0,"1,110",19.6,669,11.8,872,15.4,367,6.5,58,1.0,24,0.4,42,0.7,49,0.9,"2,363",41.7,664,11.7,"1,699",30.0,"3,308",58.3,"2,890",51.0,418,7.4
34,St. Mary's (Bury),E05014166,"4,904",608,12.4,"1,292",26.3,"2,008",40.9,996,20.3,"1,806",36.8,"1,727",35.2,"1,231",25.1,127,2.6,13,0.3,"1,139",23.2,"2,236",45.6,"1,233",25.1,296,6.0,"3,286",67.0,"1,301",26.5,317,6.5,82,1.7,46,0.9,336,6.8,5,0.1,"3,181",64.9,7,0.1,870,17.7,840,17.1,6,0.1,463,8.4,575,10.5,"1,008",18.3,483,8.8,83,1.5,54,1.0,38,0.7,47,0.9,"1,420",25.8,463,8.4,957,17.4,"4,082",74.2,"3,552",64.6,530,9.6
35,Tottington,E05014167,"4,232",158,3.7,"1,237",29.2,"1,928",45.6,909,21.5,"1,712",40.5,"1,748",41.3,716,16.9,50,1.2,6,0.1,516,12.2,"1,765",41.7,"1,505",35.6,446,10.5,"2,920",69.0,"1,038",24.5,274,6.5,30,0.7,10,0.2,298,7.0,16,0.4,"3,503",82.7,10,0.2,191,4.5,529,12.5,2,0.0,384,7.6,829,16.4,659,13.1,673,13.3,139,2.8,39,0.8,31,0.6,49,1.0,"1,416",28.1,477,9.5,939,18.6,"3,631",71.9,"3,102",61.5,529,10.5
36,Unsworth,E05014168,"4,754",468,9.8,946,19.9,"2,319",48.8,"1,020",21.5,"1,979",41.6,"1,581",33.2,"1,100",23.1,78,1.6,17,0.4,849,17.9,"2,091",44.0,"1,439",30.3,375,7.9,"3,157",66.4,"1,269",26.7,330,6.9,69,1.5,20,0.4,322,6.8,9,0.2,"3,553",74.7,24,0.5,535,11.3,635,13.4,7,0.1,429,8.3,779,15.0,768,14.8,627,12.1,114,2.2,30,0.6,41,0.8,43,0.8,"1,464",28.2,467,9.0,997,19.2,"3,734",71.8,"3,318",63.8,416,8.0
37,Cherryfield,E05010935,"4,622",244,5.3,"1,087",23.5,"2,741",59.3,550,11.9,"1,588",34.4,"1,708",37.0,"1,150",24.9,156,3.4,20,0.4,"1,607",34.8,"1,947",42.1,860,18.6,208,4.5,"2,642",57.2,"1,510",32.7,470,10.2,108,2.3,65,1.4,356,7.7,19,0.4,"2,626",56.8,13,0.3,"1,195",25.9,780,16.9,6,0.1,722,15.0,695,14.4,830,17.2,651,13.5,101,2.1,35,0.7,23,0.5,40,0.8,"1,476",30.6,366,7.6,"1,110",23.0,"3,341",69.4,"3,030",62.9,311,6.5
38,Halewood North,E05010936,"4,408",362,8.2,835,18.9,"2,216",50.3,995,22.6,"1,812",41.1,"1,568",35.6,937,21.3,84,1.9,7,0.2,908,20.6,"1,878",42.6,"1,270",28.8,352,8.0,"2,911",66.0,"1,191",27.0,307,7.0,69,1.6,35,0.8,321,7.3,16,0.4,"3,109",70.5,61,1.4,718,16.3,519,11.8,0,0.0,387,7.4,854,16.4,804,15.4,849,16.3,95,1.8,41,0.8,49,0.9,64,1.2,"1,413",27.1,408,7.8,"1,005",19.3,"3,793",72.9,"3,381",64.9,412,7.9
39,Halewood South,E05010937,"4,477",398,8.9,702,15.7,"2,388",53.3,989,22.1,"1,835",41.0,"1,471",32.9,"1,070",23.9,85,1.9,14,0.3,"1,360",30.4,"1,834",41.0,"1,024",22.9,259,5.8,"2,589",57.8,"1,485",33.2,403,9.0,68,1.5,44,1.0,345,7.7,17,0.4,"2,775",62.0,62,1.4,"1,172",26.2,463,10.3,3,0.1,539,11.7,600,13.1,672,14.6,878,19.1,79,1.7,31,0.7,48,1.0,57,1.2,"1,411",30.7,405,8.8,"1,006",21.9,"3,181",69.3,"2,869",62.5,312,6.8
40,Northwood (Knowsley),E05010938,"5,042",468,9.3,"1,342",26.6,"2,365",46.9,867,17.2,"1,431",28.4,"1,850",36.7,"1,551",30.8,189,3.7,21,0.4,"2,366",46.9,"1,818",36.1,719,14.3,139,2.8,"2,602",51.6,"1,875",37.2,565,11.2,87,1.7,109,2.2,432,8.6,20,0.4,"1,988",39.4,21,0.4,"2,051",40.7,969,19.2,14,0.3,826,18.3,626,13.9,687,15.2,645,14.3,96,2.1,28,0.6,25,0.6,29,0.6,"1,373",30.5,366,8.1,"1,007",22.3,"3,136",69.5,"2,815",62.4,321,7.1
41,Page Moss,E05010939,"5,000",188,3.8,991,19.8,"3,487",69.7,335,6.7,"1,808",36.2,"1,788",35.8,"1,225",24.5,155,3.1,22,0.4,"1,974",39.5,"2,085",41.7,800,16.0,141,2.8,"2,870",57.4,"1,594",31.9,536,10.7,80,1.6,82,1.6,376,7.5,19,0.4,"2,422",48.4,50,1.0,"1,855",37.1,662,13.2,11,0.2,492,10.2,795,16.4,"1,301",26.9,331,6.8,76,1.6,35,0.7,39,0.8,58,1.2,"1,490",30.8,378,7.8,"1,112",23.0,"3,342",69.2,"3,038",62.9,304,6.3
42,Prescot North,E05010940,"4,892",436,8.9,"1,539",31.5,"2,091",42.7,826,16.9,"1,701",34.8,"1,961",40.1,"1,132",23.1,91,1.9,7,0.1,"1,352",27.6,"1,991",40.7,"1,252",25.6,297,6.1,"3,096",63.3,"1,437",29.4,359,7.3,79,1.6,47,1.0,357,7.3,27,0.6,"2,913",59.5,26,0.5,894,18.3,"1,049",21.4,11,0.2,603,11.5,558,10.6,935,17.8,804,15.3,77,1.5,55,1.0,36,0.7,55,1.0,"1,383",26.3,371,7.1,"1,012",19.3,"3,866",73.7,"3,451",65.7,415,7.9
43,Prescot South,E05010941,"4,238",87,2.1,998,23.5,"2,520",59.5,633,14.9,"1,661",39.2,"1,651",39.0,813,19.2,101,2.4,12,0.3,"1,143",27.0,"1,800",42.5,"1,029",24.3,263,6.2,"2,648",62.5,"1,208",28.5,382,9.0,60,1.4,55,1.3,314,7.4,21,0.5,"2,692",63.5,25,0.6,878,20.7,639,15.1,4,0.1,977,20.8,376,8.0,755,16.1,804,17.1,76,1.6,58,1.2,23,0.5,33,0.7,"1,297",27.6,350,7.5,947,20.2,"3,398",72.4,"3,037",64.7,361,7.7
