ward,wardcode,car0,car0p,car1,car1p,car2,car2p,car3,car3p
Linacre (Sefton),E05000942,"3,550",54.9,"2,293",35.5,511,7.9,111,1.7
Litherland,E05000943,"1,990",36.8,"2,288",42.3,958,17.7,173,3.2
Manor (Sefton),E05000944,"1,095",20.4,"2,256",41.9,"1,575",29.3,453,8.4
Meols,E05000945,735,13.9,"2,338",44.2,"1,690",31.9,528,10.0
Molyneux,E05000946,816,15.8,"2,227",43.2,"1,638",31.8,470,9.1
Netherton and Orrell,E05000947,"1,577",29.6,"2,324",43.7,"1,134",21.3,285,5.4
Norwood,E05000948,"1,156",19.0,"2,753",45.2,"1,692",27.8,485,8.0
Park (Sefton),E05000949,773,15.2,"2,037",40.0,"1,738",34.1,542,10.6
Ravenmeols,E05000950,786,14.9,"2,369",44.9,"1,674",31.7,444,8.4
St Oswald (Sefton),E05000951,"1,967",38.5,"2,093",41.0,825,16.2,219,4.3
Sudell,E05000952,973,17.3,"2,494",44.3,"1,666",29.6,499,8.9
Victoria (Sefton),E05000953,"1,011",18.3,"2,548",46.1,"1,612",29.2,351,6.4
Billinge & Seneley Green,E05014120,626,13.6,"1,920",41.7,"1,531",33.2,528,11.5
Blackbrook (St. Helens),E05014121,924,20.3,"2,001",43.9,"1,260",27.7,369,8.1
Bold & Lea Green,E05014122,980,19.8,"2,005",40.4,"1,542",31.1,435,8.8
Eccleston,E05014123,563,12.5,"1,739",38.7,"1,683",37.5,507,11.3
Haydock,E05014124,"1,038",21.5,"2,038",42.2,"1,342",27.8,407,8.4
Moss Bank,E05014125,"1,034",21.4,"2,066",42.7,"1,361",28.1,381,7.9
Newton-le-Willows East,E05014126,"1,065",19.6,"2,282",42.0,"1,691",31.1,401,7.4
Newton-le-Willows West,E05014127,"1,364",23.8,"2,413",42.1,"1,597",27.9,360,6.3
Parr,E05014128,"2,062",37.7,"2,254",41.3,933,17.1,215,3.9
Peasley Cross & Fingerpost,E05014129,598,39.9,613,40.9,240,16.0,47,3.1
Rainford,E05014130,405,11.6,"1,423",40.6,"1,265",36.1,412,11.8
Rainhill,E05014131,793,16.0,"2,202",44.4,"1,525",30.7,442,8.9
St Helens Town Centre,E05014132,"1,878",46.0,"1,641",40.2,461,11.3,102,2.5
Sutton North West,E05014133,714,22.8,"1,455",46.6,771,24.7,185,5.9
Sutton South East,E05014134,648,21.9,"1,372",46.4,767,25.9,170,5.7
Thatto Heath,E05014135,"1,636",28.6,"2,358",41.2,"1,338",23.4,387,6.8
West Park (St. Helens),E05014136,"1,415",25.9,"2,554",46.7,"1,219",22.3,283,5.2
Windle,E05014137,"1,042",21.8,"1,950",40.8,"1,405",29.4,377,7.9
Bramhall North,E05000779,439,8.3,"2,111",39.9,"2,089",39.5,649,12.3
Bramhall South and Woodford,E05000780,457,8.8,"1,933",37.1,"2,138",41.0,684,13.1
Bredbury Green and Romiley,E05000782,"1,333",21.1,"2,675",42.3,"1,809",28.6,503,8.0
Bredbury and Woodley,E05000781,"1,055",17.5,"2,631",43.6,"1,814",30.1,529,8.8
Brinnington and Central,E05000783,"4,051",46.7,"3,374",38.9,"1,046",12.0,210,2.4
Cheadle Hulme North,E05000785,"1,050",17.9,"2,522",43.1,"1,839",31.4,441,7.5
Cheadle Hulme South,E05000786,752,12.8,"2,396",40.9,"2,098",35.8,610,10.4
Cheadle and Gatley,E05000784,914,14.3,"2,557",40.1,"2,237",35.0,675,10.6
Davenport and Cale Green,E05000787,"1,679",25.3,"3,124",47.0,"1,487",22.4,353,5.3
Edgeley and Cheadle Heath,E05000788,"1,709",26.9,"2,960",46.5,"1,394",21.9,296,4.7
Hazel Grove,E05000789,"1,019",16.8,"2,580",42.5,"1,892",31.2,576,9.5
Heald Green,E05000790,621,12.4,"2,019",40.4,"1,752",35.0,608,12.2
Heatons North,E05000791,"1,051",17.7,"2,617",44.0,"1,835",30.9,442,7.4
Heatons South,E05000792,888,14.8,"2,874",47.8,"1,826",30.4,419,7.0
Manor (Stockport),E05000793,"1,426",22.9,"2,808",45.1,"1,586",25.5,406,6.5
Marple North,E05000794,543,10.5,"2,104",40.5,"1,908",36.7,638,12.3
Marple South and High Lane,E05000795,815,15.4,"2,301",43.4,"1,652",31.1,538,10.1
Offerton,E05000796,"1,146",19.3,"2,424",40.8,"1,796",30.3,569,9.6
Reddish North,E05000797,"1,689",25.3,"3,220",48.2,"1,402",21.0,364,5.5
Reddish South,E05000798,"1,443",23.5,"2,844",46.4,"1,484",24.2,361,5.9
Stepping Hill,E05000799,812,14.7,"2,464",44.5,"1,800",32.5,465,8.4
Ashton Hurst,E05000800,"1,228",25.8,"2,031",42.7,"1,129",23.7,369,7.8
Ashton St Michael's,E05000801,"1,710",32.2,"2,350",44.2,"1,017",19.1,237,4.5
Ashton Waterloo,E05000802,"1,372",28.2,"2,042",41.9,"1,106",22.7,350,7.2
Audenshaw,E05000803,"1,051",19.6,"2,429",45.2,"1,507",28.0,386,7.2
Denton North East,E05000804,"1,292",25.5,"2,275",44.9,"1,187",23.4,317,6.3
