ward,wardcode,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p
Bredbury Green and Romiley,E05000782,"2,426",38.4,"2,146",34.0,"1,591",25.2,136,2.2,21,0.3
Bredbury and Woodley,E05000781,"2,180",36.2,"2,382",39.5,"1,352",22.4,96,1.6,19,0.3
Brinnington and Central,E05000783,"1,131",13.0,"2,797",32.2,"4,238",48.8,475,5.5,40,0.5
Cheadle Hulme North,E05000785,"2,408",41.1,"2,105",36.0,"1,229",21.0,98,1.7,13,0.2
Cheadle Hulme South,E05000786,"2,891",49.4,"1,789",30.6,"1,104",18.9,64,1.1,5,0.1
Cheadle and Gatley,E05000784,"2,885",45.2,"2,188",34.3,"1,160",18.2,135,2.1,15,0.2
Davenport and Cale Green,E05000787,"1,773",26.7,"2,602",39.2,"1,991",30.0,235,3.5,42,0.6
Edgeley and Cheadle Heath,E05000788,"1,605",25.2,"2,652",41.7,"1,846",29.0,226,3.6,30,0.5
Hazel Grove,E05000789,"2,552",42.1,"2,179",36.0,"1,218",20.1,101,1.7,11,0.2
Heald Green,E05000790,"2,315",46.3,"1,696",33.9,839,16.8,118,2.4,32,0.6
Heatons North,E05000791,"2,688",45.2,"1,778",29.9,"1,326",22.3,136,2.3,17,0.3
Heatons South,E05000792,"2,440",40.6,"2,158",35.9,"1,278",21.3,104,1.7,27,0.4
Manor (Stockport),E05000793,"1,788",28.7,"2,507",40.3,"1,762",28.3,150,2.4,19,0.3
Marple North,E05000794,"2,984",57.4,"1,546",29.7,615,11.8,45,0.9,7,0.1
Marple South and High Lane,E05000795,"2,395",45.1,"1,862",35.1,969,18.3,68,1.3,12,0.2
Offerton,E05000796,"2,259",38.1,"1,989",33.5,"1,512",25.5,157,2.6,18,0.3
Reddish North,E05000797,"1,670",25.0,"2,598",38.9,"2,100",31.5,277,4.1,30,0.4
Reddish South,E05000798,"1,796",29.3,"2,489",40.6,"1,671",27.2,150,2.4,27,0.4
Stepping Hill,E05000799,"2,441",44.1,"2,019",36.5,"1,023",18.5,50,0.9,5,0.1
Ashton Hurst,E05000800,"1,656",34.8,"1,608",33.8,"1,256",26.4,207,4.4,30,0.6
Ashton St Michael's,E05000801,"1,188",22.4,"2,091",39.4,"1,689",31.8,299,5.6,46,0.9
Ashton Waterloo,E05000802,"1,286",26.4,"1,721",35.3,"1,597",32.8,231,4.7,35,0.7
Audenshaw,E05000803,"1,773",33.0,"2,076",38.6,"1,345",25.0,161,3.0,18,0.3
Denton North East,E05000804,"1,347",26.6,"2,109",41.6,"1,469",29.0,132,2.6,14,0.3
Denton South,E05000805,"1,440",28.1,"1,960",38.3,"1,532",29.9,164,3.2,20,0.4
Denton West,E05000806,"1,829",36.2,"2,153",42.7,974,19.3,82,1.6,8,0.2
Droylsden East,E05000807,"1,525",28.4,"2,063",38.5,"1,549",28.9,197,3.7,28,0.5
Droylsden West,E05000808,"1,642",34.2,"1,779",37.1,"1,204",25.1,147,3.1,24,0.5
Dukinfield,E05000809,"1,399",25.3,"2,019",36.5,"1,907",34.4,187,3.4,26,0.5
Dukinfield Stalybridge,E05000810,"1,488",28.8,"2,002",38.7,"1,543",29.8,123,2.4,15,0.3
Hyde Godley,E05000811,"1,414",25.9,"2,089",38.3,"1,703",31.2,206,3.8,45,0.8
Hyde Newton,E05000812,"1,881",28.8,"2,469",37.8,"1,942",29.7,207,3.2,36,0.6
Hyde Werneth,E05000813,"1,502",31.5,"1,838",38.5,"1,168",24.5,200,4.2,66,1.4
Longdendale,E05000814,"1,533",32.9,"1,822",39.1,"1,153",24.7,134,2.9,20,0.4
Mossley,E05000815,"1,360",26.3,"2,353",45.5,"1,358",26.3,86,1.7,14,0.3
St Peter's (Tameside),E05000816,844,13.6,"2,212",35.6,"2,581",41.5,451,7.3,129,2.1
Stalybridge North,E05000817,"1,680",30.3,"1,911",34.5,"1,747",31.5,180,3.2,21,0.4
Stalybridge South,E05000818,"1,998",41.9,"1,716",36.0,929,19.5,108,2.3,12,0.3
Altrincham,E05000819,"1,989",35.5,"2,154",38.4,"1,344",24.0,118,2.1,3,0.1
