ward,wardcode,broom1,broom1p,broom2,broom2p,broom3,broom3p,broom4,broom4p
Birkenhead and Tranmere,E05000956,"1,599",19.8,"2,921",36.2,"2,698",33.5,842,10.4
Bromborough,E05000957,520,7.0,"2,033",27.5,"3,806",51.4,"1,042",14.1
Clatterbridge,E05000958,97,1.7,700,11.9,"3,272",55.7,"1,807",30.8
Claughton,E05000959,793,12.3,"1,211",18.7,"2,889",44.7,"1,577",24.4
Eastham,E05000960,277,4.6,888,14.8,"3,729",62.0,"1,125",18.7
"Greasby, Frankby and Irby",E05000961,196,3.2,"1,180",19.1,"3,073",49.7,"1,739",28.1
Heswall,E05000962,242,4.2,"1,029",17.7,"2,058",35.3,"2,496",42.8
Hoylake and Meols,E05000963,432,7.5,"1,440",25.1,"1,796",31.4,"2,060",36.0
Leasowe and Moreton East,E05000964,445,6.8,"1,386",21.2,"3,807",58.2,905,13.8
Liscard,E05000965,679,9.7,"1,567",22.4,"3,085",44.1,"1,657",23.7
Moreton West and Saughall Massie,E05000966,349,5.6,"1,482",23.8,"3,405",54.6,"1,002",16.1
New Brighton,E05000967,"1,104",16.0,"1,855",26.8,"1,975",28.6,"1,981",28.6
Oxton,E05000968,748,11.2,"1,619",24.3,"2,841",42.6,"1,459",21.9
Pensby and Thingwall,E05000969,268,4.6,"1,346",23.0,"3,194",54.7,"1,035",17.7
Prenton,E05000970,358,5.7,985,15.8,"3,187",51.0,"1,717",27.5
Rock Ferry,E05000971,919,13.3,"1,761",25.5,"3,377",49.0,841,12.2
Seacombe,E05000972,756,11.3,"1,655",24.7,"3,428",51.2,861,12.9
Upton (Wirral),E05000973,658,9.1,"1,684",23.2,"3,904",53.8,"1,005",13.9
Wallasey,E05000974,493,7.8,892,14.2,"2,609",41.5,"2,298",36.5
West Kirby and Thurstaston,E05000975,319,5.8,990,18.0,"2,225",40.4,"1,971",35.8
