ward,wardcode,ptime,ptimep,par15,par15p,par1630,par1630p,ftime,ftimep,f3148,f3148p,f49,f49p
Chadderton North,E05000721,"1,616",33.3,487,10.0,"1,129",23.3,"3,236",66.7,"2,902",59.8,334,6.9
Chadderton South,E05000722,"1,462",28.4,388,7.5,"1,074",20.8,"3,690",71.6,"3,321",64.5,369,7.2
Coldhurst,E05000723,"2,035",48.9,521,12.5,"1,514",36.4,"2,126",51.1,"1,972",47.4,154,3.7
Crompton (Oldham),E05000724,"1,276",27.4,360,7.7,916,19.7,"3,381",72.6,"2,986",64.1,395,8.5
Failsworth East,E05000725,"1,317",26.2,378,7.5,939,18.7,"3,702",73.8,"3,307",65.9,395,7.9
Failsworth West,E05000726,"1,370",26.7,395,7.7,975,19.0,"3,770",73.3,"3,381",65.8,389,7.6
Hollinwood,E05000727,"1,495",32.7,421,9.2,"1,074",23.5,"3,083",67.3,"2,747",60.0,336,7.3
Medlock Vale,E05000728,"2,076",37.4,589,10.6,"1,487",26.8,"3,478",62.6,"3,174",57.1,304,5.5
Royton North,E05000729,"1,244",27.1,364,7.9,880,19.2,"3,348",72.9,"2,968",64.6,380,8.3
Royton South,E05000730,"1,329",26.1,373,7.3,956,18.8,"3,758",73.9,"3,351",65.9,407,8.0
Saddleworth North,E05000731,"1,342",27.8,482,10.0,860,17.8,"3,487",72.2,"2,909",60.2,578,12.0
Saddleworth South,E05000732,"1,393",29.5,509,10.8,884,18.7,"3,328",70.5,"2,735",57.9,593,12.6
Saddleworth West and Lees,E05000733,"1,392",25.8,452,8.4,940,17.4,"4,002",74.2,"3,528",65.4,474,8.8
Shaw (Oldham),E05000736,"1,245",27.1,363,7.9,882,19.2,"3,342",72.9,"2,906",63.4,436,9.5
St James' (Oldham),E05000734,"1,594",28.6,406,7.3,"1,188",21.3,"3,971",71.4,"3,493",62.8,478,8.6
St Mary's (Oldham),E05000735,"2,250",43.9,645,12.6,"1,605",31.3,"2,880",56.1,"2,593",50.5,287,5.6
Waterhead,E05000737,"1,700",32.0,437,8.2,"1,263",23.8,"3,607",68.0,"3,195",60.2,412,7.8
Werneth,E05000738,"1,969",42.9,585,12.7,"1,384",30.1,"2,623",57.1,"2,411",52.5,212,4.6
Balderstone & Kirkholt,E05014033,"1,349",29.1,366,7.9,983,21.2,"3,293",70.9,"2,899",62.5,394,8.5
Bamford,E05014034,"1,350",31.0,415,9.5,935,21.4,"3,009",69.0,"2,557",58.7,452,10.4
Castleton,E05014035,"1,322",29.4,372,8.3,950,21.1,"3,175",70.6,"2,810",62.5,365,8.1
Central Rochdale,E05014036,"1,668",38.8,474,11.0,"1,194",27.8,"2,626",61.2,"2,391",55.7,235,5.5
East Middleton,E05014037,"1,313",25.9,384,7.6,929,18.3,"3,757",74.1,"3,359",66.3,398,7.9
Healey,E05014038,"1,417",31.0,427,9.3,990,21.6,"3,157",69.0,"2,729",59.7,428,9.4
Hopwood Hall,E05014039,"1,280",25.9,378,7.7,902,18.3,"3,657",74.1,"3,185",64.5,472,9.6
Kingsway (Rochdale),E05014040,"1,562",35.0,464,10.4,"1,098",24.6,"2,907",65.0,"2,605",58.3,302,6.8
Littleborough Lakeside,E05014041,"1,191",26.3,343,7.6,848,18.7,"3,345",73.7,"2,889",63.7,456,10.1
Milkstone & Deeplish,E05014042,"1,567",41.3,446,11.8,"1,121",29.5,"2,228",58.7,"2,054",54.1,174,4.6
Milnrow & Newhey,E05014043,"1,279",25.3,378,7.5,901,17.8,"3,772",74.7,"3,324",65.8,448,8.9
Norden (Rochdale),E05014044,"1,250",25.6,437,8.9,813,16.6,"3,639",74.4,"3,118",63.8,521,10.7
North Heywood,E05014045,"1,351",26.9,399,7.9,952,19.0,"3,670",73.1,"3,249",64.7,421,8.4
North Middleton,E05014046,"1,518",27.7,417,7.6,"1,101",20.1,"3,960",72.3,"3,536",64.5,424,7.7
Smallbridge & Firgrove,E05014047,"1,366",30.8,375,8.5,991,22.4,"3,064",69.2,"2,738",61.8,326,7.4
South Middleton,E05014048,"1,328",25.9,406,7.9,922,18.0,"3,802",74.1,"3,347",65.2,455,8.9
Spotland & Falinge,E05014049,"1,543",34.1,439,9.7,"1,104",24.4,"2,986",65.9,"2,678",59.1,308,6.8
"Wardle, Shore & West Littleborough",E05014050,"1,309",25.6,366,7.1,943,18.4,"3,813",74.4,"3,286",64.2,527,10.3
West Heywood,E05014051,"1,426",26.8,388,7.3,"1,038",19.5,"3,887",73.2,"3,475",65.4,412,7.8
West Middleton,E05014052,"1,187",27.5,348,8.0,839,19.4,"3,136",72.5,"2,818",65.2,318,7.4
Barton & Winton,E05013018,"1,998",26.0,613,8.0,"1,385",18.0,"5,681",74.0,"5,113",66.6,568,7.4
Blackfriars & Trinity,E05013019,"1,296",18.1,495,6.9,801,11.2,"5,881",81.9,"5,232",72.9,649,9.0
Boothstown & Ellenbrook,E05013020,"1,566",25.3,515,8.3,"1,051",17.0,"4,624",74.7,"3,863",62.4,761,12.3
Broughton (Salford),E05013021,"2,651",42.6,700,11.3,"1,951",31.4,"3,571",57.4,"3,182",51.1,389,6.3
Cadishead & Lower Irlam,E05013022,"1,446",24.7,453,7.7,993,17.0,"4,404",75.3,"3,874",66.2,530,9.1
Claremont (Salford),E05013023,"1,680",25.2,527,7.9,"1,153",17.3,"4,990",74.8,"4,514",67.7,476,7.1
Eccles,E05013024,"1,697",23.8,553,7.7,"1,144",16.0,"5,448",76.2,"4,823",67.5,625,8.7
Higher Irlam & Peel Green,E05013025,"1,791",28.1,483,7.6,"1,308",20.5,"4,583",71.9,"4,060",63.7,523,8.2
Kersal & Broughton Park,E05013026,"3,146",48.9,928,14.4,"2,218",34.5,"3,287",51.1,"2,866",44.6,421,6.5
Little Hulton,E05013027,"1,736",32.9,510,9.7,"1,226",23.2,"3,543",67.1,"3,157",59.8,386,7.3
Ordsall,E05013028,"1,291",22.8,445,7.9,846,15.0,"4,360",77.2,"3,937",69.7,423,7.5
Pendlebury & Clifton,E05013029,"1,666",27.4,456,7.5,"1,210",19.9,"4,419",72.6,"3,954",65.0,465,7.6
Pendleton & Charlestown,E05013030,"2,463",39.4,"1,081",17.3,"1,382",22.1,"3,787",60.6,"3,437",55.0,350,5.6
Quays,E05013031,"1,084",15.6,440,6.3,644,9.3,"5,856",84.4,"5,163",74.4,693,10.0
Swinton & Wardley,E05013032,"1,563",26.0,523,8.7,"1,040",17.3,"4,438",74.0,"4,010",66.8,428,7.1
Swinton Park,E05013033,"1,603",25.8,485,7.8,"1,118",18.0,"4,608",74.2,"4,096",65.9,512,8.2
Walkden North,E05013034,"1,600",25.8,456,7.4,"1,144",18.4,"4,603",74.2,"4,080",65.8,523,8.4
Walkden South,E05013035,"1,390",23.8,432,7.4,958,16.4,"4,462",76.2,"3,895",66.6,567,9.7
Weaste & Seedley,E05013036,"2,158",27.5,722,9.2,"1,436",18.3,"5,692",72.5,"5,188",66.1,504,6.4
Worsley & Westwood Park,E05013037,"1,468",26.5,488,8.8,980,17.7,"4,074",73.5,"3,476",62.7,598,10.8
Ainsdale,E05000932,"1,760",34.2,631,12.2,"1,129",21.9,"3,393",65.8,"2,896",56.2,497,9.6
Birkdale,E05000933,"2,114",34.5,699,11.4,"1,415",23.1,"4,010",65.5,"3,471",56.7,539,8.8
Blundellsands,E05000934,"1,574",29.5,526,9.9,"1,048",19.7,"3,756",70.5,"3,125",58.6,631,11.8
Cambridge,E05000935,"1,509",32.6,524,11.3,985,21.3,"3,126",67.4,"2,600",56.1,526,11.3
Church (Sefton),E05000936,"1,667",29.4,492,8.7,"1,175",20.7,"4,008",70.6,"3,500",61.7,508,9.0
Derby (Sefton),E05000937,"1,713",30.9,481,8.7,"1,232",22.2,"3,838",69.1,"3,489",62.9,349,6.3
Duke's,E05000938,"1,832",31.0,671,11.3,"1,161",19.6,"4,085",69.0,"3,413",57.7,672,11.4
Ford,E05000939,"1,808",31.9,456,8.0,"1,352",23.9,"3,860",68.1,"3,441",60.7,419,7.4
Harington,E05000940,"1,541",32.5,583,12.3,958,20.2,"3,202",67.5,"2,632",55.5,570,12.0
Kew (Sefton),E05000941,"2,176",33.5,676,10.4,"1,500",23.1,"4,324",66.5,"3,768",58.0,556,8.6
Linacre (Sefton),E05000942,"1,670",31.9,485,9.3,"1,185",22.6,"3,564",68.1,"3,147",60.1,417,8.0
Litherland,E05000943,"1,722",30.6,433,7.7,"1,289",22.9,"3,906",69.4,"3,499",62.2,407,7.2
Manor (Sefton),E05000944,"1,614",29.3,502,9.1,"1,112",20.2,"3,890",70.7,"3,357",61.0,533,9.7
Meols,E05000945,"1,848",34.0,600,11.0,"1,248",23.0,"3,582",66.0,"3,079",56.7,503,9.3
Molyneux,E05000946,"1,711",28.4,516,8.6,"1,195",19.9,"4,307",71.6,"3,800",63.1,507,8.4
Netherton and Orrell,E05000947,"1,884",31.2,526,8.7,"1,358",22.5,"4,152",68.8,"3,706",61.4,446,7.4
Norwood,E05000948,"2,417",34.0,752,10.6,"1,665",23.4,"4,697",66.0,"4,070",57.2,627,8.8
Park (Sefton),E05000949,"1,667",29.8,523,9.3,"1,144",20.4,"3,928",70.2,"3,396",60.7,532,9.5
Ravenmeols,E05000950,"1,720",32.9,637,12.2,"1,083",20.7,"3,509",67.1,"3,001",57.4,508,9.7
St Oswald (Sefton),E05000951,"1,523",32.3,390,8.3,"1,133",24.0,"3,190",67.7,"2,841",60.3,349,7.4
Sudell,E05000952,"1,710",28.0,504,8.3,"1,206",19.8,"4,388",72.0,"3,886",63.7,502,8.2
Victoria (Sefton),E05000953,"1,863",27.8,542,8.1,"1,321",19.7,"4,841",72.2,"4,200",62.6,641,9.6
Billinge & Seneley Green,E05014120,"1,294",27.8,402,8.6,892,19.2,"3,354",72.2,"2,896",62.3,458,9.9
Blackbrook (St. Helens),E05014121,"1,291",27.5,352,7.5,939,20.0,"3,398",72.5,"3,042",64.9,356,7.6
Bold & Lea Green,E05014122,"1,531",27.3,452,8.1,"1,079",19.3,"4,074",72.7,"3,595",64.1,479,8.5
Eccleston,E05014123,"1,186",25.8,389,8.5,797,17.3,"3,417",74.2,"2,932",63.7,485,10.5
Haydock,E05014124,"1,298",26.6,374,7.7,924,19.0,"3,576",73.4,"3,152",64.7,424,8.7
Moss Bank,E05014125,"1,336",28.2,386,8.2,950,20.1,"3,399",71.8,"2,998",63.3,401,8.5
Newton-le-Willows East,E05014126,"1,530",24.6,431,6.9,"1,099",17.7,"4,679",75.4,"4,113",66.2,566,9.1
Newton-le-Willows West,E05014127,"1,536",24.9,445,7.2,"1,091",17.7,"4,636",75.1,"4,106",66.5,530,8.6
Parr,E05014128,"1,453",29.5,400,8.1,"1,053",21.4,"3,474",70.5,"3,073",62.4,401,8.1
Peasley Cross & Fingerpost,E05014129,410,31.8,114,8.8,296,22.9,880,68.2,781,60.5,99,7.7
Rainford,E05014130,944,27.8,305,9.0,639,18.8,"2,451",72.2,"2,094",61.7,357,10.5
Rainhill,E05014131,"1,390",27.3,432,8.5,958,18.8,"3,705",72.7,"3,245",63.7,460,9.0
St Helens Town Centre,E05014132,952,27.5,310,8.9,642,18.5,"2,516",72.5,"2,243",64.7,273,7.9
Sutton North West,E05014133,915,27.8,257,7.8,658,20.0,"2,380",72.2,"2,123",64.4,257,7.8
Sutton South East,E05014134,831,26.1,266,8.4,565,17.7,"2,353",73.9,"2,103",66.0,250,7.9
Thatto Heath,E05014135,"1,597",27.6,472,8.2,"1,125",19.5,"4,183",72.4,"3,629",62.8,554,9.6
West Park (St. Helens),E05014136,"1,528",27.6,448,8.1,"1,080",19.5,"4,018",72.4,"3,559",64.2,459,8.3
Windle,E05014137,"1,318",25.8,365,7.1,953,18.7,"3,787",74.2,"3,313",64.9,474,9.3
