ward,wardcode,nodis,nodisp,onedis,onedisp,twodis,twodisp
Longdendale,E05000814,"2,881",61.8,"1,409",30.2,375,8.0
Mossley,E05000815,"3,468",67.0,"1,363",26.3,343,6.6
St Peter's (Tameside),E05000816,"3,756",60.4,"2,019",32.5,441,7.1
Stalybridge North,E05000817,"3,396",61.3,"1,672",30.2,470,8.5
Stalybridge South,E05000818,"3,268",68.6,"1,182",24.8,313,6.6
Altrincham,E05000819,"4,272",76.2,"1,124",20.0,212,3.8
Ashton upon Mersey,E05000820,"3,124",72.2,"1,001",23.1,203,4.7
Bowdon,E05000821,"2,743",73.4,815,21.8,178,4.8
Broadheath (Trafford),E05000822,"4,166",74.8,"1,120",20.1,286,5.1
Brooklands (Trafford),E05000823,"3,110",74.0,880,20.9,213,5.1
Bucklow-St Martins,E05000824,"2,394",57.2,"1,377",32.9,413,9.9
Clifford,E05000825,"3,446",66.2,"1,411",27.1,350,6.7
Davyhulme East,E05000826,"2,691",67.5,"1,017",25.5,277,7.0
Davyhulme West,E05000827,"2,696",65.6,"1,079",26.3,332,8.1
Flixton,E05000828,"3,113",67.6,"1,216",26.4,275,6.0
Gorse Hill (Trafford),E05000829,"3,386",66.9,"1,340",26.5,339,6.7
Hale Barns,E05000830,"2,742",71.8,862,22.6,216,5.7
Hale Central,E05000831,"3,278",78.4,745,17.8,156,3.7
Longford (Trafford),E05000832,"3,431",66.6,"1,338",26.0,380,7.4
Priory (Trafford),E05000833,"3,702",73.7,"1,119",22.3,204,4.1
Sale Moor,E05000835,"2,995",68.1,"1,104",25.1,298,6.8
St Mary's (Trafford),E05000834,"3,124",64.9,"1,321",27.4,368,7.6
Stretford,E05000836,"3,006",64.4,"1,345",28.8,318,6.8
Timperley,E05000837,"3,191",72.8,968,22.1,224,5.1
Urmston,E05000838,"3,344",68.1,"1,286",26.2,279,5.7
Village (Trafford),E05000839,"2,820",65.2,"1,203",27.8,299,6.9
Bebington,E05000954,"4,201",64.3,"1,809",27.7,526,8.0
Bidston and St James,E05000955,"3,756",53.2,"2,500",35.4,805,11.4
Birkenhead and Tranmere,E05000956,"4,257",52.8,"3,066",38.0,736,9.1
Bromborough,E05000957,"4,590",62.0,"2,188",29.6,625,8.4
Clatterbridge,E05000958,"4,021",68.4,"1,447",24.6,408,6.9
Claughton,E05000959,"3,977",61.4,"1,981",30.6,515,8.0
Eastham,E05000960,"3,860",64.1,"1,667",27.7,492,8.2
"Greasby, Frankby and Irby",E05000961,"4,143",67.0,"1,606",26.0,439,7.1
Heswall,E05000962,"4,166",71.4,"1,389",23.8,276,4.7
Hoylake and Meols,E05000963,"3,910",68.3,"1,453",25.4,363,6.3
Leasowe and Moreton East,E05000964,"3,580",54.7,"2,168",33.1,795,12.2
Liscard,E05000965,"4,094",58.6,"2,203",31.5,691,9.9
Moreton West and Saughall Massie,E05000966,"3,768",60.4,"1,857",29.8,613,9.8
New Brighton,E05000967,"4,120",59.6,"2,224",32.2,571,8.3
Oxton,E05000968,"4,345",65.2,"1,846",27.7,476,7.1
Pensby and Thingwall,E05000969,"3,702",63.4,"1,676",28.7,465,8.0
Prenton,E05000970,"3,937",63.0,"1,762",28.2,548,8.8
Rock Ferry,E05000971,"3,569",51.7,"2,564",37.2,765,11.1
Seacombe,E05000972,"3,430",51.2,"2,491",37.2,779,11.6
Upton (Wirral),E05000973,"4,250",58.6,"2,340",32.3,661,9.1
Wallasey,E05000974,"4,124",65.5,"1,716",27.3,452,7.2
West Kirby and Thurstaston,E05000975,"3,762",68.3,"1,401",25.4,342,6.2
